Found the following tracks based on an input ratio of: 0.9

artificial intelligence  true colours   // artificial intelligence  true colours, RATIO: 0.973684210526

friction raphaella  running   // friction feat. raphaella  running  , RATIO: 0.90625

tantrum desire  reach (the prototypes remix) // tantrum desir  reach (the prototypes remix)  , RATIO: 0.966292134831

sub focus & dimension  desire // sub focus and dimension desire, RATIO: 0.915254237288

dc breaks  never stop   // dc breaks never stop, RATIO: 0.93023255814

annix  head shot   // annix  head shot  , RATIO: 1.0

enei  sinking vip   // enei  sinking vip, RATIO: 0.944444444444

data 3  molecular   // data 3  molecular  , RATIO: 1.0

flowidus  shelter // flowidus  shelter  , RATIO: 0.944444444444

lexurus  crystalize   // lexurus  crystalize  , RATIO: 1.0

turno a.m.c  mind the gap (turno remix) // a.m.c  mind the gap (turno remix), RATIO: 0.916666666667

distress signal  horizon   // distress signal  horizon   1, RATIO: 0.962962962963

dc breaks prolix  beat down vip   // dc breaks prolix  beat down vip  , RATIO: 1.0

macky gee  tour // macky gee  tour  , RATIO: 0.9375

lee mvtthews  turning back   // lee mvtthews  turning back, RATIO: 0.962962962963

tantrum desire  airhead   // tantrum desire  airhead, RATIO: 0.958333333333

a.m.c nitro vip // a.m.c  nitro vip, RATIO: 0.967741935484

cyantific feat. bmotion  cyborg   1 // cyantific feat. bmotion  cyborg  , RATIO: 0.970588235294

tc  sounds like tc // tc  sounds like tc  , RATIO: 0.947368421053

snoop dogg  gin and juice (young swigz bootleg) // snoop dogg  gin and juice (young swigz bootleg), RATIO: 1.0

snoop dogg  gin and juice (young swigz bootleg) // snoop dogg  gin and juice (young swigz bootleg), RATIO: 1.0

flowidus  kids in the club   // flowidus  kids in the club  , RATIO: 1.0

culture shock  bunker   // culture shock  bunker, RATIO: 0.954545454545

culture shock  bunker   // culture shock  bunker  , RATIO: 1.0

noisia the upbeats dead limit // noisia the upbeats  dead limit  , RATIO: 0.950819672131

the prototypes rocket guns blazin // the prototypes  rocket guns blazin', RATIO: 0.970588235294

snoop dogg  gin and juice (young swigz bootleg) // snoop dogg  gin and juice (young swigz bootleg), RATIO: 1.0

ekko & sidetrack  combat vip // ekko & sidetrack  combat  , RATIO: 0.925925925926

ekko & sidetrack  combat vip // ekko & sidetrack  combat  , RATIO: 0.925925925926

mob tactics  'eject' // mob tactics eject, RATIO: 0.918918918919

junk mail yellow jacket // junk mail  yellow jacket  , RATIO: 0.938775510204

dimension  offender // dimension offender, RATIO: 0.972972972973

dimension  danger (ft. mc gq) // dimension danger (feat mc gq), RATIO: 0.931034482759

au ra  panic room (culture shock remix) // aura  panic room (culture shock remix)  , RATIO: 0.962025316456

dc breaks  halo vip   // dc breaks  halo vip  , RATIO: 1.0

culture shock  renaissance   // culture shock  renaissance, RATIO: 0.962962962963

culture shock  renaissance   // culture shock  renaissance  , RATIO: 1.0

culture shock  neighbourhood   // culture shock  neighbourhood, RATIO: 0.965517241379

culture shock  neighbourhood   // culture shock  neighbourhood  , RATIO: 1.0

junk mail  lock stock   // junk mail  lock stock  , RATIO: 1.0

ekko & sidetrack  combat   // ekko & sidetrack  combat  , RATIO: 1.0

dimension  whip slap   // dimension  whip slap ii  , RATIO: 0.936170212766

culture shock  neighbourhood // culture shock  neighbourhood  , RATIO: 0.965517241379

culture shock  renaissance // culture shock  renaissance  , RATIO: 0.962962962963

culture shock  bunker // culture shock  bunker  , RATIO: 0.954545454545

dimension  generator // dimension  generator  , RATIO: 0.952380952381

s.p.y  step & flow vip   // s.p.y  step & flow (vip), RATIO: 0.916666666667

cyantific t & sugah  all i want   // cyantific t & sugah  all i want  , RATIO: 1.0

let's go // let's go, RATIO: 1.0

boom down lifter1 // boom down lifter2, RATIO: 0.941176470588

chase & status  international (dimension remix) // chase & status  international (dimension remix), RATIO: 1.0

delta heavy white flag vip // delta heavy  white flag  , RATIO: 0.901960784314

delta heavy white flag vip // delta heavy  white flag vip, RATIO: 0.981132075472

high contrast remind me // high contrast  remind me  , RATIO: 0.938775510204

high contrast remind me // high contrast  remind me, RATIO: 0.978723404255

01. dc breaks  back for more // dc breaks  back for more, RATIO: 0.923076923077

high contrast  remind me   // high contrast  remind me, RATIO: 0.96

delta heavy  white flag   // delta heavy  white flag vip, RATIO: 0.923076923077

1991  pleasure // 1991  pleasure  , RATIO: 0.933333333333

lee mvtthews  surrender   // lee mvtthews  surrender  , RATIO: 1.0

high contrast  if we ever (unglued remix) // high contrast  if we ever (unglued remix), RATIO: 1.0

ben snow  out in the streets // ben snow  out in the streets  , RATIO: 0.965517241379

snare // snare8, RATIO: 0.909090909091

snare // snare9, RATIO: 0.909090909091

eden bladerunner platinum breaks  everything feat. eden (bladerunner vocal mix) // eden bladerunner platinum breaks  everything feat. eden (bladerunner dirty mix), RATIO: 0.936708860759

tantrum desire  bass in the place // tantrum desire  bass in the place  , RATIO: 0.970588235294

metrik  gravity   // metrik  gravity  , RATIO: 1.0

benny l & inja  vanta blackin // benny l inja  vanta blackin  , RATIO: 0.931034482759

wilkinson feat. detour city  too close   // wilkinson feat. detour city  too close vip  , RATIO: 0.952380952381

tidal wave  // tidal wave  , RATIO: 0.95652173913

short boom // short boom, RATIO: 1.0

bladerunner  don't break it vip // bladerunner  don't break it  , RATIO: 0.933333333333

bladerunner  don't break it vip // bladerunner  don't break it (vip), RATIO: 0.96875

adam f  circles (pola&bryson bootleg) // adam f  circles (pola & bryson bootleg)   (1), RATIO: 0.90243902439

bladerunner  don't break it   // bladerunner  don't break it (vip), RATIO: 0.903225806452

noise down lifter2 // noise down lifter1, RATIO: 0.944444444444

dc breaks we never slow down feat eva lazarus // 03. dc breaks  we never slow down ft eva lazarus, RATIO: 0.924731182796

09. dc breaks  control the world // dc breaks  control the world  , RATIO: 0.903225806452

bicep  glue   // bicep  glue  , RATIO: 1.0

upgrade  popular (friction remix) // upgrade  popular (friction remix)  , RATIO: 0.970588235294

a.m.c & turno  alliance // a.m.c turno  alliance  , RATIO: 0.913043478261

ram trilogy  no reality (andy c remix) // ram trilogy  'no reality' (andy c remix), RATIO: 0.974358974359

kings of the rollers  you got me (s.p.y remix) // kings of the rollers  you got me (s.p.y remix)  , RATIO: 0.978723404255

culture shock there for you lsb remix // culture shock  there for you (lsb remix)  , RATIO: 0.936708860759

cyantific  take me in   // cyantific  take me in  , RATIO: 1.0

tc  tap ho (a.m.c remix) // tc  tap ho (a.m.c remix), RATIO: 1.0

the prodigy the day is my enemy bad company uk remix // the prodigy  the day is my enemy (bad company uk remix), RATIO: 0.971962616822

k motionz  declaration   // k motionz  declaration  , RATIO: 1.0

muzz  nemesis // muzz  nemesis  , RATIO: 0.928571428571

netsky  love has gone   // netsky  love has gone, RATIO: 0.954545454545

skantia power line // skantia  power line  , RATIO: 0.923076923077

mefjus  the chase   // mefjus  the chase  , RATIO: 1.0

